"Intel Core i7 8700"
"SSD Sambung SATA 128gb","24.0","","13.812655737085707 km","Algés, Linda-A-Velha E Cruz Quebrada-Dafundo","27 de junho de 2025","https://www.olx.pt//d/anuncio/ssd-sambung-sata-128gb-IDHsuBV.html"
"Disco Samsung 256GB SSD Solid State Drive m.2","25.0","","4.7508140532628085 km","Penha De França","Hoje às 13:19","https://www.olx.pt//d/anuncio/disco-samsung-256gb-ssd-solid-state-drive-m-2-IDIWewW.html"


"HDD 1TB"
"Discos HDD 1T/500GB/320GB","5.0","","16.520683629916117 km","Alverca Do Ribatejo E Sobralinho","22 de junho de 2025","https://www.olx.pt//d/anuncio/discos-hdd-1t-500gb-320gb-IDIKxeQ.html"
"Caixa Externa para SSD / HDD 2.5","5.5","","3.912890455413891 km","Lumiar","16 de junho de 2025","https://www.olx.pt//d/anuncio/caixa-externa-para-ssd-hdd-2-5-IDIiqUp.html"
"Discos de vários tamanhos,  HDD 3.5, HDD 2.5","8.0","","26.179258988602513 km","Mafra","29 de junho de 2025","https://www.olx.pt//d/anuncio/discos-de-vrios-tamanhos-hdd-3-5-hdd-2-5-IDHGcnu.html"
"Discos SSDs /HDDs","8.0","","10.261708222146353 km","Ramada E Caneças","02 de julho de 2025","https://www.olx.pt//d/anuncio/discos-ssds-hdds-IDIEVzL.html"
"Disco rígido 320GB HDD 3.5 para PC","9.0","","90.67572849278798 km","Minde","11 de junho de 2025","https://www.olx.pt//d/anuncio/disco-rgido-320gb-hdd-3-5-para-pc-IDIKdhx.html"
"Discos SATA e SAS Enterprise (8TB, 1TB 900GB, 300GB)","10.0","","13.68045262675052 km","Alcochete","19 de junho de 2025","https://www.olx.pt//d/anuncio/discos-sata-e-sas-enterprise-8tb-1tb-900gb-300gb-IDISf3F.html"
"SeaGate Barracuda + Desktop HDD","10.0","","8.237396163588778 km","Loures","19 de junho de 2025","https://www.olx.pt//d/anuncio/seagate-barracuda-desktop-hdd-IDIL2LD.html"
"Discos HDD 2,5" para portáteis ou discos externos.","10.0","Negociável","6.94826484617507 km","Misericórdia","02 de julho de 2025","https://www.olx.pt//d/anuncio/discos-hdd-2-5-para-portteis-ou-discos-externos-IDGtUNt.html"
"Disco 1TB sata 3.5","10.0","","9.451410814451734 km","Alfragide","20 de junho de 2025","https://www.olx.pt//d/anuncio/disco-1tb-sata-3-5-IDIiP9i.html"
"Discos HDD de 3,5" para PC Desktop, discos externos ou NAS","10.0","Negociável","6.94826484617507 km","Misericórdia","09 de junho de 2025","https://www.olx.pt//d/anuncio/discos-hdd-de-3-5-para-pc-desktop-discos-externos-ou-nas-IDHO7w0.html"
"Sata 1TB WD Blue","13.0","","16.520683629916117 km","Alverca Do Ribatejo E Sobralinho","17 de junho de 2025","https://www.olx.pt//d/anuncio/sata-1tb-wd-blue-IDIMUZC.html"
"Vendo hdd Seagate 1tb","15.0","","25.4734151188041 km","Alcabideche","08 de junho de 2025","https://www.olx.pt//d/anuncio/vendo-hdd-seagate-1tb-IDIRdgL.html"
"Vendo Disco 1TB WDBlack","15.0","","6.925641784153167 km","Lisboa","07 de junho de 2025","https://www.olx.pt//d/anuncio/vendo-disco-1tb-wdblack-IDIPhny.html"
"HD Western Digital SATA 1TB","15.0","","20.861163238780797 km","São Domingos de Rana","30 de junho de 2025","https://www.olx.pt//d/anuncio/hd-western-digital-sata-1tb-IDInCA4.html"
"Disco Seagate 1TB 128mb cache","19.0","","46.52278238019618 km","Valada","11 de junho de 2025","https://www.olx.pt//d/anuncio/disco-seagate-1tb-128mb-cache-IDIPALa.html"


